"","Band","Brand","Affinity"
"1","Adele","Nike",36
"2","Adele","Adidas",42.09
"3","Adele","Maybelline",44.84
"4","Adele","Clinique",37.68
"5","Adele","Red Bull",48.19
"6","Adele","Monster",44.57
"7","Adele","Levi's",33.24
"8","Adele","Wrangler",19.96
"9","Adele","McDonald's",31.87
"10","Adele","Subway",27.45
"11","Adele","Bud Light",29.61
"12","Adele","Yuengling",27.92
"13","Adele","Jack Daniel's Whiskey",50.57
"14","Adele","Crown Royal Whiskey",46.63
"15","Adele","Grey Goose Vodka",42.53
"16","Adele","Absolut Vodka",51.1
"17","Adele","Coach",41.12
"18","Adele","Rolex",42.47
"19","Adele","Kohl's",36.72
"20","Adele","Macy's",37.76
"21","Adele","Walmart",27.67
"22","Adele","Target",29.87
"23","Adele","Coca-Cola/Diet Coke",35.53
"24","Adele","Dr. Pepper/Diet Dr. Pepper",45.39
"25","Adele","Apple",42.84
"26","Adele","Samsung",40.51
"27","Adele","Toyota",36.71
"28","Adele","Ford",31.54
"29","Adele","Verizon",32.98
"30","Adele","AT&T",30.59
"31","Maroon 5","Nike",58.21
"32","Maroon 5","Adidas",62.2
"33","Maroon 5","Maybelline",50.2
"34","Maroon 5","Clinique",36.81
"35","Maroon 5","Red Bull",59.14
"36","Maroon 5","Monster",49.96
"37","Maroon 5","Levi's",41.97
"38","Maroon 5","Wrangler",25.93
"39","Maroon 5","McDonald's",37
"40","Maroon 5","Subway",28.02
"41","Maroon 5","Bud Light",44.41
"42","Maroon 5","Yuengling",40.44
"43","Maroon 5","Jack Daniel's Whiskey",44.22
"44","Maroon 5","Crown Royal Whiskey",43.44
"45","Maroon 5","Grey Goose Vodka",44.99
"46","Maroon 5","Absolut Vodka",53.88
"47","Maroon 5","Coach",46.11
"48","Maroon 5","Rolex",39.81
"49","Maroon 5","Kohl's",40.92
"50","Maroon 5","Macy's",45.42
"51","Maroon 5","Walmart",29.8
"52","Maroon 5","Target",42.02
"53","Maroon 5","Coca-Cola/Diet Coke",50.36
"54","Maroon 5","Dr. Pepper/Diet Dr. Pepper",53.92
"55","Maroon 5","Apple",53.42
"56","Maroon 5","Samsung",54.11
"57","Maroon 5","Toyota",48.45
"58","Maroon 5","Ford",38.43
"59","Maroon 5","Verizon",29.56
"60","Maroon 5","AT&T",30.34
"61","Bruno Mars","Nike",51.06
"62","Bruno Mars","Adidas",52.71
"63","Bruno Mars","Maybelline",48.44
"64","Bruno Mars","Clinique",35.42
"65","Bruno Mars","Red Bull",57.16
"66","Bruno Mars","Monster",50.69
"67","Bruno Mars","Levi's",32.62
"68","Bruno Mars","Wrangler",18.57
"69","Bruno Mars","McDonald's",36.04
"70","Bruno Mars","Subway",26.65
"71","Bruno Mars","Bud Light",40.64
"72","Bruno Mars","Yuengling",36.64
"73","Bruno Mars","Jack Daniel's Whiskey",40.92
"74","Bruno Mars","Crown Royal Whiskey",39.91
"75","Bruno Mars","Grey Goose Vodka",46.17
"76","Bruno Mars","Absolut Vodka",52.97
"77","Bruno Mars","Coach",45.86
"78","Bruno Mars","Rolex",34.04
