"","Stylish","Wholesome","Adventurous","Energetic","Happy","Upbeat","Fun","Reliable","Inspiring","Down-to-earth","Unique","Depressing","Tough","Conventional","Tense","Sophisticated","Intense","Rebellious","Amusing","Warm","Aggressive","Sensual","Peaceful","Romantic","Imaginative","Charming","Passionate","Dreamy","Intelligent"
"Adele",0.0265426393797639,0.0216224402125957,0.008992047870004,0.0507085060199612,0.0145229782791071,0.0385931516201011,0.0327151209616876,0.00122177278755024,0.120391429581781,0.0318823307711568,0.0203432208603,0.00109992734013419,0.0137929708721593,0.00711972282148821,0.0086895216150083,0.0324195794165296,0.116229024296111,0.0262891872670616,0.0206398470296415,0.0275703916059439,0.00767241494832621,0.0954992875218493,0.000251865067567093,0.0791376153529379,0.0327840079450384,0.0143288515092911,0.0951837812864189,0.0330382371405736,0.0207181286199105
"Maroon 5",0.0569563805325007,0.00175486804722716,0.0556480391085772,0.110327014479851,0.0270166652556799,0.197410332942357,0.0829695516757386,0.0116485339769066,0.055649381660157,0.0540522245357377,0.0302883188561525,0.000680542407433154,0.0192205460268995,0.0132968057079738,0.00254733475289678,0.00902616258933469,0.0110756133974362,0.0200848866325354,0.0102961404047546,0.00415014897615303,0.00908591484299182,0.00997396538495964,0.00377513019438872,0.030610465295589,0.0457459326767193,0.037991899968669,0.0472850333292651,0.0294143242312679,0.0120178421098475
"Bruno Mars",0.0436698885564926,0.0120855164779844,0.0270788816695695,0.139178332115386,0.0423880841326708,0.133059250366504,0.107027778944962,0.0036267850610083,0.0185708400233881,0.0201181780723585,0.0351126329428871,0.000825918782298786,0.00363830202493185,0.00254677704553534,0.00160794134600552,0.00258462948160143,0.0269578552642768,0.0111682287556279,0.0192233899003311,0.0203359485397127,0.00826815631952721,0.0336673825083606,0.0100842782174309,0.102038914679389,0.0340886870481266,0.0416261052403903,0.03679602087321,0.0531512992329738,0.00947399637705925
"Pink",0.0197570982524071,0.00316230056001088,0.0460978789841091,0.166892394123143,0.0317460286468801,0.0837810387113711,0.0653266227723254,0.00430975943805951,0.0555659801131911,0.011797980690908,0.0300243023523663,0.0032125998002372,0.0205394472366832,0.000273401125794682,0.00380825859037858,0.0116041690291025,0.085304460712753,0.112220423583519,0.020370923369666,0.00444431606630335,0.0395999876136638,0.0104590667274355,0.0105901892036678,0.0309835706458334,0.0407966545814712,0.0107695060388574,0.0562250925835869,0.0202415102221133,9.50382241610629e-05
"Coldplay",0.0203030685645698,0.0142495599856048,0.0431021285248895,0.10268953841569,0.0296381618809209,0.100161594389027,0.0636484061842555,0.000436544607455127,0.0503473790319447,0.0523340226165311,0.0301480893206922,0.00232606132561369,0.0128220900773849,0.00992025241450972,0.002335253171724,0.0209414038061641,0.0494803601406819,0.0219880061612016,0.00302768312466303,0.0036120273592877,0.0122989229619474,0.0322415360237083,0.011453279557643,0.0317669943656957,0.0613851957737195,0.0427087035399839,0.061781087918404,0.0733060922846173,0.0395465564714688
"Justin Timberlake",0.108320642015263,0.0108451812038179,0.0514041461297927,0.0879940212350145,0.029239631865105,0.0886459088338883,0.111178476739035,0.0300162151910843,0.0684398613337559,0.00176130011341068,0.0329287782509916,0.00311116436909194,0.00412983726226107,0.000173057817579243,0.00177779864597383,0.00378544896828807,0.0231392986596241,0.0042592499356271,0.0332329902131815,0.0208353697931545,0.00249850542667636,0.0530111673619531,0.0241266698752413,0.0306804603675412,0.0120862753964284,0.0680479917207407,0.039994199626326,0.0416345554645174,0.0127017961846347
"Katy Perry",0.0449975019345361,0.0136478216180006,0.0233915610115412,0.10513433571441,0.091114614518067,0.145575074472295,0.0845856279593254,0.000922153222002164,0.0646732496904404,0.0350958558652762,0.0512321571035323,0.0033653769018268,0.0123080697884799,5.35350896967642e-05,0.00223217830747013,0.00192142797777833,0.0203185175090881,0.053757132150692,0.0317050964229915,0.0138382354374484,6.14464496027263e-05,0.011097616339463,0.00324186584641317,0.0150249830315532,0.0407580810982297,0.0219312652269034,0.061797874120346,0.0222492313986824,0.023968113793908
"Luke Bryan",0.0142373393374097,0.0231862189743549,0.02108830545775,0.148569942651002,0.0808897023722283,0.0717980634284899,0.118221524785596,0.00111078138424586,0.0115500154194987,0.0787537207428165,0.00377431435549375,9.13589084779388e-05,0.0031764527597052,0.000146986719955059,3.12751924573222e-06,0.00252712009288719,0.0133224732169637,0.0330792214468734,0.0243855670285732,0.0397472819683295,0.00282735583611139,0.000131211812537275,0.0305269276868975,0.0926349572822514,0.000431461914416061,0.0793983766296329,0.0298797012327104,0.0711878194982709,0.00332266953727585
"Beyonce",0.044373871013513,0.0143600620132096,0.010416681557252,0.107598194751604,0.0232946362966544,0.102923065597495,0.107220548899126,0.0147669030901398,0.107296301998426,0.0115369707334829,0.031687822062384,0.00470076835590061,0.00467604493314909,0.000282242560702406,0.00336167059525099,0.0244744462853387,0.0433361067443721,0.0256461910133326,0.0136299529800722,0.0144787121855989,0.0358827882177814,0.0944244403158811,0.010305912646359,0.0240730912536283,0.000815129924609758,0.00453075073828803,0.0848660292056155,0.00323233168450005,0.0318083323463315
"U2",0.00393112720452682,0.0224778654672985,0.0365853224614167,0.0696292150674635,0.0111854050196409,0.0588306012337334,0.113257017918762,0.0119869481098236,0.146689950302953,0.0454259140816725,0.038103603562099,0.00122305779389608,0.00408054819808841,0.0137981683363487,0.00291821468033292,0.0265560994725448,0.0796927251711099,0.0674321451481491,0.000244666062950233,0.0112693385646121,0.00510046843934191,0.023276013271258,0.00192308296153601,0.000266111392395403,0.0248726573705225,0.00311326104450793,0.0588731682333417,0.0262636235947557,0.0909936798349181
"Taylor Swift",0.0184196936377415,0.076541229061119,0.0277528570616468,0.0746632996033324,0.0376278683051411,0.0748058753560764,0.138468167159388,0.0134384895272662,0.0266833468231548,0.0638240801690436,0.0184682359754659,0.00273409823495604,0.0046551107779281,0.00254709901897557,0.00198653114177433,0.025791907635733,0.0173629114388535,0.0270078225563841,0.0429244792005775,0.0017331902021192,0.0254855338297364,0.0303096637625171,0.00138809167541019,0.0656885777363863,0.054357737945327,0.0307091203338675,0.0618702104809609,0.0151751163096698,0.0175796550394474
