"","Stylish","Wholesome","Adventurous","Energetic","Happy","Upbeat","Fun","Reliable","Inspiring","Down-to-earth","Unique","Depressing","Tough","Conventional","Tense","Sophisticated","Intense","Rebellious","Amusing","Warm","Aggressive","Sensual","Peaceful","Romantic","Imaginative","Charming","Passionate","Dreamy","Intelligent"
"Nike",0.136434352229289,0.010717464124785,0.104278137507808,0.160158370106491,0.00773868002984496,0.0673376018655254,0.0810298165860669,0.108114727608117,0.0357479657712787,0.0426906265291985,0.0186856043096436,0.000723135902626166,0.0427902386380318,0.0604605372103951,0.00109699573171205,0.00392896552921766,0.0293086734562953,0.0155463622032889,0.00821608797515307,2.8041766892153e-05,0.0356538610584105,0.00020167631847186,0.00483170580031626,0.00165339220713504,0.0036407602124072,0.00145463586738513,0.0153815622865035,0.00160701398510763,0.000543007182602539
"Adidas",0.109802364046804,0.0343102276149587,0.0877441033298889,0.122127244232798,0.0241578817151593,0.0788425143912671,0.0874257644285364,0.110649835318994,0.0541747603703844,0.0368722258759434,0.0155161067385119,0.00326142596621647,0.0561367203103199,0.0224260106356384,0.00475234872454832,0.00080000625697082,0.0434839089767196,0.0161978326947297,0.0113114673315244,0.00510849959652525,0.025996716168421,0.000187202888776429,0.000416316264298084,0.00439921380285061,0.00378709106733699,0.00162190920464579,0.0109985042625514,0.00506672503302027,0.0224250727516604
"Maybelline",0.103373698274415,0.0731766201327717,0.0317454239198998,0.0331617448347374,0.0438894530845631,0.0434383620101781,0.0714937188573485,0.121290248288678,0.00102162415885428,0.0703687130058056,0.0335465153547135,0.00393869392655962,0.00492410765843004,0.0711938126943409,0.00420810913092257,0.0632163259527034,0.0504898277383633,0.034381852941059,0.00189903400926757,0.0132311735106372,0.0132699354427688,0.0323994394592207,0.0002525945969509,0.0297341273876054,0.000242436828398914,0.0308908361286861,0.00389216535066736,0.0113909813690685,0.00393842395238495
"Clinique",0.0961251286862441,0.0660766502307404,0.00283418856009079,0.0108624486176813,0.0497145700455255,0.0385480383760639,0.0321744294244529,0.106912795349423,0.0129219886399526,0.0574606683761413,0.105401105983463,0.00369364206224396,0.0121126682415944,0.113509929430524,0.0011371634958353,0.103793895711226,0.0109273942954958,0.00102775648638993,0.0137563106899375,0.028630176724044,0.000548206936743831,0.0318368420741982,0.02306927445564,0.0212231288230417,0.00167272210370709,0.000527363308882703,0.0120595511787951,0.00140563032832538,0.0400363313635956
"Red Bull",0.00687692260450429,0.000205320743673498,0.0712573345853346,0.212680088477753,0.0262301268878877,0.104265423774478,0.0586148259628222,0.040848825462129,0.0285786183647649,0.0138285245032263,0.0404768607446407,0.00686529026970441,0.02034071497326,0.0285227341813862,0.00274669150118796,0.0131857714551318,0.135297677777975,0.0269250906349969,0.0218971550495063,0.0075929454491012,0.0585631967418621,0.00707783583998194,0.00809215417667589,0.0143962676754064,0.00170648869458193,0.00690605792910065,0.00661169181307915,0.0135109722132549,0.015898391512593
"Monster",0.0312027031417528,0.00397540790985072,0.0572089299120574,0.265517468755568,0.0198709379478101,0.0660180765070796,0.0563994164610911,0.0414417496893136,0.0123545508477444,0.00425150482789266,0.0218778983453211,0.00409786998808622,0.0308805482143732,0.00380838957409098,0.00291963000551723,0.00381862662507526,0.132375796732198,0.0687486057923957,0.0211334946371239,0.0191864288825138,0.0790611434315964,0.00976623158459531,0.00291314595189773,0.00274128424429083,0.019673134456892,0.00301901041122889,0.0115852536415842,0.00279378055946321,0.00135898092159587
"Levi's",0.0814826166855999,0.0347272516072123,0.0534603539898694,0.0253047562317159,0.0265274174407971,0.0179032725413837,0.042887656807672,0.143862170463275,0.00970457308527115,0.169050901210034,0.00404579003876191,0.000130710969867759,0.107712288142181,0.138155715129689,0.00387785422211489,0.00305194356531612,0.011840612565538,0.0229371053785053,0.00106197547448987,0.0290789582526176,0.00571819409947378,0.0113714277689553,0.00947369788510889,0.0147822161462251,0.00327158459806712,0.0120393438513486,0.00341497456070613,0.00621601756070667,0.00690861972749586
"Wrangler",0.0672258139890268,0.0601790993482149,0.0369157283350569,0.014498974465207,0.00611861503677463,0.00664873549967884,0.00859909009465439,0.163722596250961,0.0015816390465732,0.198030357720405,0.00230890863054661,0.00220476980963769,0.145665617291322,0.187057411353037,0.000847148308396349,0.00707660616354035,0.00229575398247268,0.00839682567997775,0.00860460817279015,0.026876085203631,0.00637913011008755,0.00796820650632519,0.013471029702606,0.007660306235825,0.00168710334825634,0.00109268863213059,0.00253052321918864,0.00281977066438945,0.00153685719928704
"McDonald's",0.00461127694984227,0.0175421186422725,0.0212303658409192,0.0137112672895762,0.135864686680135,0.041279093329098,0.0852081436228945,0.155532697202329,0.00726277126145251,0.0913971341218068,0.00475097890572552,0.0447457958789754,0.0148685819819791,0.188957447496016,0.00841565721116386,0.00347261535301676,0.0239230307884083,0.0101254316339223,0.0177071343251593,0.0487733721499658,0.0182046038309827,0.0106330528967628,0.00491536699553368,0.00716111861122785,0.00695984256334554,0.00405378254538147,0.00490441496576507,0.00345502346636662,0.000333193459975947
"Subway",0.00212779265029094,0.166792595423713,0.013151321318985,0.0281025564631455,0.0437023459644351,0.031976226435431,0.040263256022089,0.183293191379758,0.0105277327588547,0.149193959648153,0.0102437510658028,0.0173903266701426,0.00560756128367943,0.157942777715899,0.00451780388271963,0.00165719656643608,0.00907457370975404,0.0094951051755335,0.000436169068208664,0.0263884702155734,0.00478037472812179,0.000185623412095573,0.0358457867411767,0.00167979627299621,0.0100765320362408,0.00156746311581229,0.00135751328047773,0.00178085927630331,0.0308413377181717
"Bud Light",0.0344419267332822,0.0356407030501083,0.0374978320984773,0.0243927289591652,0.0229289309528891,0.0598769426916344,0.136865107294556,0.114253082921437,0.00282864732762518,0.116310069701997,0.0166913424968576,0.00296954270953999,0.0494601159659282,0.183405483963471,0.0023106437833135,0.00396501828683947,0.00484756978026902,0.00178066293874433,0.0136307617949032,0.0054398535318307,0.0141472894281354,0.0159562839757461,0.0477980172069896,0.0138053393733242,0.0119666335506197,0.00449069944427945,0.000298819098010024,0.0168237634992342,0.00517618744079361
"Yuengling",0.0142099737872838,0.0869591064653654,0.0595335154583422,0.0496038460358173,0.0963244164118708,0.0248544039162841,0.0871827930074443,0.0950977988701277,0.000694452912867819,0.213487982705662,0.0241573614357813,0.00420055224031145,0.00557113291299346,0.0848636981643226,0.00172097460332162,0.00552574711797155,0.015238721127849,0.00133442492376066,0.00180808229169102,0.013298720830135,0.0166372145241436,0.00436965703400683,0.049492769932604,0.00245966663566025,0.0033462439458021,0.00421007363912679,0.0155656965934115,0.00579050618903094,0.0124604662870107
"Jack Daniel's Whiskey",0.0264322867150132,0.0363153126566332,0.035981242516209,0.0187085204615436,0.010398956941184,0.0514284169690102,0.0517779708571808,0.0520949875381551,0.00874702046948815,0.0715768961870711,0.042733866909323,0.00157549920484348,0.0946178486769094,0.0373792014063043,0.00295462809890238,0.0443803083346197,0.0797196644451286,0.0686631550676321,0.00289742853499123,0.122608003883384,0.0256897499638428,0.0456725066721149,0.00154791874235033,0.0171810332381915,0.01005465120173,0.0022843538457769,0.021128716093594,0.00398841731403032,0.0114614370548433
